0
C1
C11
C12
C17
C18
C19
C2
C20
C23
C25
C26
C27
C28
C3
C4
C5
C6
C7
C8
C9
D1
D10
D11
D12
D14
D15
D16
D18
D19
D2
D20
D21
D24
D25
D26
D29
D3
D30
D32
D4
D5
D6
D7
D8
D9
